rating,review,userName,title,date,company
1,"The apps had refused to accept my payment choices. It is becoming inconvenient and causing many riders to cancel trips because they prefer cash payment. 
How do I change back to cash payment?",Gunyanyi,Payment settings.,2025-04-18 11:23:54-07:00,uber
5,Awesome experience here in Nairobi,Top Tobiii,Uber review,2025-04-08 07:57:37-07:00,uber
5,Safe drive & punctual,Tess Kui,Good communication,2025-03-27 04:02:34-07:00,uber
5,Happy,Shemcom,Awesome ride,2025-03-27 01:48:47-07:00,uber
1,"I made a payment via Mpesa which they refused to acknowledge because they say they only acknowledge bank or PayPal payments.

Given that Uber is widely used in the Kenyan market- the least you can teach your customer care service is that it is possible to make payment with something other than a bank or PayPal. 

Terrible experience with customer service. 1 Star.",Rachel Racquel,Lousy Customer Care which doesn’t understand Kenyan market,2025-03-24 10:02:21-07:00,uber
1,I have enabled all safety features but when I book a ride none of the safety features that I have chosen to default are active and hence need to manually update each trip.,Review@user,Safety settings not defaulting,2025-03-14 22:16:02-07:00,uber
1,"I am filing a complaint about Uber’s blatant price gouging practices, which take advantage of customers when demand is high. It is unacceptable that fares skyrocket the moment Uber detects an increase in demand, knowing full well that riders have limited options. This is pure exploitation, not “dynamic pricing.” Your so-called surge pricing is nothing but an excuse to squeeze extra cash from customers who have no alternative but to use your service. It is unfair, unethical, and needs to be addressed. I demand a fare review and a clear explanation of why Uber thinks this predatory pricing model is justifiable.",EddGichigo,Unfair Price Gouging by Uber During Peak Demand,2025-03-09 22:20:25-07:00,uber
5,"Cleanest Uber ever
Friendly driver and disciplined",Cizja,Enjoyed Ride,2025-03-03 23:51:04-07:00,uber
5,Very nice service,Meeyash,Uber,2025-03-01 05:07:39-07:00,uber
5,I only get option to pay with visa/debit card when I try to download. I want to pay with Mpesa or cash. This is all wrong.,Kendi kenya,Payment method is bad,2025-02-22 03:33:43-07:00,uber
1,Customer support takes too long to resolve issues with no clear ETR.,Irate beyond words,Poor customer support,2025-01-29 04:11:08-07:00,uber
1,Why on earth should it take over a week to get simple feedback or resolution of a ticket item raised about unsupported charges?,We expect better service!,Disappointed user,2025-01-27 20:09:11-07:00,uber
5,Very convenient and reliable,Viochem,Uber is the best,2025-01-25 12:39:35-07:00,uber
5,Very poor long mapping for a very small distance in pursuit of increasing charges.,Kennyyyyyyynnnnnn,Mapping,2025-01-17 21:03:31-07:00,uber
5,Excellent,Photo383,Very good,2024-12-31 09:20:27-07:00,uber
5,Reliable,Evewkm,Review,2024-12-22 01:07:17-07:00,uber
4,Uber is one of the safest apps I’ve ever used,Kelvin Ň,Safe,2024-12-16 21:21:10-07:00,uber
1,One of my rides refused to end trip and i couldn’t use the app the whole day until it did. There is no help option when the ride cannot be ended and yet you have arrived at your destination.,Wanjmel,Lack of customer care support,2024-12-15 21:10:49-07:00,uber
1,The agents don’t reply when there’s an emergency,abdulkiba,Worst customer care,2024-11-20 02:33:54-07:00,uber
5,Great ride. With Uber today,Mbuiworld,Ride comments,2024-11-13 01:32:18-07:00,uber
5,Good n fast & in time,khari vadi,Delivery,2024-11-12 01:43:47-07:00,uber
5,Superb,Kj4Dago,👌🏽,2024-11-08 15:21:07-07:00,uber
5,"Amazing driver, professional and friendly",001_Saru027,Top driver,2024-10-27 02:50:18-07:00,uber
1,"What a garbage app this is now. This last update seems like we went back in time to iPhone 2. Buttons don’t work, loads of clicks, complete trash. I’ve started texting drivers I met on uber and booking directly to not deal with the headaches. Went from a 4 to a 1 in a month, nice work!",haternate,This apps buttons don’t work half the time,2024-10-17 11:49:28-07:00,uber
1,Your vouchers never reflect its shows it has been credited but doesn’t reflect,Bristo10,Vouchers,2024-10-12 08:21:18-07:00,uber
5,Excellent driver. Polite,Nyagose,Revie,2024-10-04 02:12:26-07:00,uber
1,"Please reverse my money. I got a cancellation fee for a trip I did not cancel. When my ride could not complete, the app allowed me to request another ride. 
Why should I get charged for that cancellation? 
Thanks in advance 
Jepchirchir",Chiri 2,Why charge a cancellation fee for a trip that I didn’t cancel,2024-09-28 16:03:55-07:00,uber
1,So frustrating that issues cannot be resolved easily as they used to be! There’s no direct way to speak to an attendant anymore. Uber sucks!,EllaSoElla,Can’t speak to customer care anymore,2024-09-28 09:30:23-07:00,uber
1,I was overcharged and yet i paid in full. Customer support is so bad and you have no access to anyone but keep chatting with bots who offer no assistance,254 🇰🇪,Overcharged,2024-09-25 20:40:49-07:00,uber
5,Uber still beat all the competitors in the market because they have professional drivers,Geoffrey Oongo,Great application,2024-09-14 03:57:45-07:00,uber
5,"You are the Best.
Great conversation and resourcefulness.
Keep it up",Manjegean,Salutation,2024-09-09 10:28:43-07:00,uber
5,Sincerely Uber is the best app it’s safe and reliable,Safiyay,Safe,2024-08-25 23:43:54-07:00,uber
1,"The way you guys calculate your cost is so so, sooo bad, the prices are not even x10 the charge of a normal bus but it’s almost x15. Hiking prices like this isn’t going to solve things, I stopped using Uber because of this issue why do you have to hike prices every single month. This is just st*pid. I hate Uber",underrated254,Prices hike,2024-08-22 01:39:44-07:00,uber
5,Very accurate and easy to navigate through,LeaderHuli,Great app,2024-08-20 14:02:27-07:00,uber
5,Amazing driver,Guru Agengo,Great guy,2024-08-15 12:56:23-07:00,uber
1,"This app is pathetic. Why are you choosing someone that is so far away and doesn’t even know how to use the map properly? I have cancelled over three rides in the past one hour because none of them know what they’re doing. They just move farther and farther away and eventually come to a complete stop then call to ask to cancel. Really??? Reflect on this, because it’s really disappointing.",Marietta2003,Pathetic app,2024-08-14 22:43:18-07:00,uber
1,Driver takes 1/2 hour arrives then tells me he has ran out of fuel i cancel the order for another I was late for my appointment who compensate s?,Nicholas kirimi,Disappointment,2024-08-14 21:59:19-07:00,uber
5,She is courteous and professional. Excellent driver.,Mtalym,Excellent driver,2024-08-13 07:41:57-07:00,uber
1,I WANT MY MONEY REFUNDED ENOUGH IS ENOUGH !!!!!!!!!!!!stop taking out money in prompt then when the ride cancels you don’t return the full amount or you jus don’t return the money..this is so wrong and corrupt nkt,2024rash,ENOUGH IS ENOUGH,2024-08-12 23:17:05-07:00,uber
1,"I have a big problem with your application, the application controls vehicles without me even I control and even when I uninstall the application it still controls",Bin Sangwa,automatic orders,2024-08-10 12:32:08-07:00,uber
5,"Very friendly rider…
Very careful with his speed..
Great attitude 💪🏿",Femiella,John Karanu,2024-08-06 22:32:21-07:00,uber
1,I ordered some items for delivery. The app gave a notification that some items were missing from the vendor and gave me an option of replacement items which I didn’t want to purchase. I did not process the order and stopped using the app but the order was processed and delivered which I could not accept. Now I am being forced to pay for an order I never requested or received which is basically daylight robbery!,Alekingm,Daylight robbery!,2024-07-31 21:34:54-07:00,uber
1,"I have used Uber for years now, but never had any problems. But in the past month, there have been issues with prices: the app gives you one rate, while the driver asks for more money than is required on the app.

Uber and the drivers need to come into an agreement and sort this issue out, because clients are now being harassed by drivers to pay higher fees, to the point of even wanting to attack them!
This is unbecoming and clients shouldn’t have to pay the price. Uber, kindly sort this issue out",RTikolo,Difference prices on app & what driver asks to be paid,2024-07-31 00:39:06-07:00,uber
4,"Uber is a relatively safe taxi app compared others. However lately the driver will almost always call to find out where the passenger is going and what the charges are showing. They are all disgruntled about the level of  commission they have to pay and this is reflected in their attitude towards the client. Pls address the as soon as possible. 
There are also more incidences of using the phone while driving.",DeeZedKay,Review,2024-07-26 21:42:43-07:00,uber
5,Very nice.,Major Vidosa,Satisfied,2024-07-22 15:26:07-07:00,uber
1,How do I get my money back after I have already done a refund for a cancelled trip?,Mhbccb,Refund,2024-07-15 09:01:39-07:00,uber
1,"Some of the drivers are rude, one of them insisted on driving on the wrong side of the road. After confrontation ,he left me on a dangerous roadside and still demanding  more pay.  I regret this particular driver. Had a Very bad experience.",patricia 254,Disappointed,2024-07-12 10:07:50-07:00,uber
5,He delivered to the expectation,Dr. Masinde,Excellent work,2024-07-06 11:40:45-07:00,uber
5,Good app,Bdjonny,App,2024-07-02 06:11:08-07:00,uber
1,"You pay a driver via cash then Uber decides that you never paid and charges you for that trip. After trying to follow up unsuccessfully for a resolution, you pay the double charged trip and try booking another trip. The app hangs for a long time without finding a driver, forcing you to abandon the request, the app acknowledges that the trip request is cancelled, then…wait for it…proceeds to charge you for the said cancelled trip 🙄. Fix it Uber!!
Your Help Section is a scam by the way. Stop it with the AI responses.",AyamBruceWayne,Problems on problems,2024-06-29 06:40:08-07:00,uber
1,So unfortunate they don’t allow cash as a mode of payment,Wangai1234,Payment,2024-06-22 01:49:22-07:00,uber
5,Great ride,African ruler,Great,2024-06-17 08:20:02-07:00,uber
1,How can i pay for ride before the driver has arrived to pick me up. That’s some BS** literally.,Ryan Lucheveli,Annoying,2024-06-15 00:06:26-07:00,uber
1,This app now requires one to have iOS 16.2 or a later version. What of those whose phones cannot support this version of iOS but are willing to update the app but cannot because of this requirement? Due to this discriminatory thinking I cannot use the app. Do better.,Gal Kadot,Discriminatory and unhelpful,2024-06-13 20:50:16-07:00,uber
2,"I’ve had trouble getting an Uber because the m-PESA payment is not going through so the app “suggested” to pay directly. Did that and $$ disappeared to la la land. Now seeing a charge for a payment that apparently didn’t go through day prior. Not sure what for as the amount doesn’t match any rides I used. And yes, there’s $$ in my M-PESA account so that’s not the issue.",Difficulty paying for service,Getting charged for something I didn’t use,2024-06-13 06:10:52-07:00,uber
1,"I’ve been trying to fix an ongoing problem with my account and no one has responded.
For the past week I have not been able to use the app because it shows an outstanding balance which I don’t understand how it came about since I have always paid for my rides. Eventually I just decided to pay the balance to the next driver and I paid the amount it came to but upon completion of the ride the app still showed that I had an outstanding balance. In fact the balance increased to include the payment of the recent ride . This is the third time this has happened and I ask whoever it may concern to please fix this problem",Robyn Wanjira,Payment issues,2024-06-11 11:44:41-07:00,uber
3,"This app has helped me travel faster and in more convenience at an affordable price, especially in my country where even hailing a cab can be a hassle and a security risk. 

With that said, there is a huge problem with your pricing system which leaves the drivers frustrated. Once a driver refused to get to my pickup point (by staying still) so that he can force me to cancel the trip and take responsibility off of him (since I was new to the app I did not know then that my driver could be changed after cancelling the trip), and as I am writing this review three drivers rejected my trip again before I decided to use another trip option, which was more costly. I’m of the opinion that the drivers don’t like the fare which is too little, and that may lead to harassment cases in future.

I would also recommend on Uber introducing tutorials on how to cancel a trip and the options available for it, so that riders may have the peace of mind of knowing that they may not have to pay damages for incidents which are not their fault. Thank you.",bgm_reviewer,"The app is convenient, but has serious flaws",2024-06-10 23:09:40-07:00,uber
5,Professional driver,VundiKane,Am happy client,2024-06-10 08:51:25-07:00,uber
1,This app now requires one to have installed iOS 16.2 onwards. How about those who’s iPhones cannot support iOS 16.2 and above? Does that mean that they cannot access Uber? Extremely discriminatory! I’m deleting this app 🚮,Webmeister5000,Discriminatory,2024-06-05 09:59:25-07:00,uber
1,I have consistently used Uber every day and it’s becoming an inconvenience having to tell the driver the destination they ask me to cancel and i do this 2/3 times i just switch to other apps just show them the destination let them decide before calling the client and they end up cancelling. Drivers also mentioned this is the only app that does not show destination this would really help them,Gulueawdkdkck,Poor customer support and app glitches,2024-05-29 23:32:29-07:00,uber
1,"Show your drivers the destination and the price charged especially in nairobi we are tired of questions after ordering the Uber you have to be prepared to answer your driver where you are,how much it has shown and if it’s cash or card why can’t you show them be open.",nino duncan wakhungu,Show your drivers destination and price when the receive the request,2024-05-28 11:29:14-07:00,uber
5,"Very impressive, he drove well, bery polite and timely.",Phyllis from Isuzu,Efficiency,2024-05-19 13:07:17-07:00,uber
1,"Rude drivers who don’t accept card payments or mobile money payments; keep canceling rides; ask for extra fare and call to ask silly questions like how much the trip costs.

UBER won’t compensate or apologize for delays caused by their system and drivers. You will spend an hour looking for a ride while exposed to the elements as drivers keep canceling rides! 

UBER will tell you a ride is 15 minutes away; take 10 minutes looking for the ride and then tell you the ride is unavailable. ( The whole time the system lies that a ride is 15 minutes away) 

Pathetic app really; would not recommend it for developing countries. The vexes are not worth channeling your money to feed the foreign owned business. You’d rather the funds circulated in your local economy to improve your local transport infrastructure and sustain local developers with transport solutions.

DON’T BELIEVE ME? Switch your payment method from cash to card or UBER CASH and enjoy the show! (Not that you’re also exempt from other challenges when you don’t switch)",33XWAWA,UBER & UBER DRIVERS,2024-05-15 03:07:52-07:00,uber
1,I am disappointed and sad that I took a trip to town on Saturday and paid the driver via MPESA but the app stated I hadn’t paid. I complained on the same day but there was no resolution. Today 6th I paid for that Saturday trip and todays trip. This isn’t cool kindly resolve it,Mama Rayyo,My trip to town,2024-05-06 05:21:25-07:00,uber
1,"I paid Leonard Mwendwa of KDE 513D sh 1320. I got a receipt. Then he wickedly claimed I hadn’t paid. I reached out to Uber. They appeared to listen at first and told me I won’t be charged again but they left a balance of sh 530. When I asked about the sh530, they said they don’t recognize payments out of the app (Mpesa) but still asked me to pay the 530 via mpesa!!!! Use this stupid app at your risk. Yes, it’ll soon fall like Bolt!",Jessica Nilla,Charged Double! Uber and Leonard are thieves!,2024-05-05 09:27:02-07:00,uber
5,Very warm driver. Excellent demeanor,Uber Drivers excellent,Driver review,2024-04-26 09:12:35-07:00,uber
1,"I paid before the ride. After i reached my destination i alighted the car and left, not knowing the driver had not ended the journey. The money increased two times the fare and I had to pay all of it in the next ride. I will never be using uber again.",hafsaomar,STOLE FROM ME,2024-04-21 23:40:40-07:00,uber
5,Execptional pilot,cheroben,THE BEST,2024-04-21 11:24:04-07:00,uber
5,"Uber drivers are always disciplined. No drama, no complain, you get a ride and are sure of your safe journey.",Clawmie,Good drivers,2024-04-20 11:31:56-07:00,uber
1,"Everytime I try to ask for a ride the system prompts me to pay first.The drivers at times don’t show up and I end up losing my money.

Please remove that system from my Uber account.",NDETEI,Advance trip payment .,2024-04-20 02:32:52-07:00,uber
5,I got the best service from this platform including the driver who was well mannered. The additional feature of ride booking was a pleasure to me.,Fredejohnmark,Great Service,2024-04-17 01:55:39-07:00,uber
5,Thanks,Sukari Nguru,5 Star,2024-03-28 09:49:54-07:00,uber
3,This is a good application. There are a few hiccups such as with payments and double payments with no hearing from uber . Overally it is okay,Thewsthews,Overview,2024-03-24 10:14:38-07:00,uber
5,The lady was very professional & so good.,Eva Nimu,Awesome Driver,2024-03-20 06:51:41-07:00,uber
1,At times the location becomes misleading,Main001,Location,2024-03-17 10:47:24-07:00,uber
1,"I paid for an Uber ride by MPESA  like I always do and the driver   acknowledged receipt. 
When I requested for another ride, Uber notified me that I had not paid for the previous ride and that mode of payment was via Barter. I tried to reach out to Uber to understand this Barter  thing but got no assistance . Uber insisted I pay again for the previous ride  even though it was within their ability to reach out to the driver for confirmation of payment. 
I find it unconscionable and unfair to be subjected to double payment without proper justification and audience by Uber.",Nyambari,UNFAIR TREATMENT,2024-03-12 11:13:09-07:00,uber
5,fantastic and safe driving. Kudos Hilary!!! and wishing you lots of abundance.,Raab!,Hilary,2024-03-12 03:24:50-07:00,uber
5,A very calm driver,scchbb,A very calm driver,2024-03-07 01:48:04-07:00,uber
5,I enjoyed the trip.,Mgenge$,Quality service,2024-03-02 18:10:53-07:00,uber
1,"I don’t understand why you would apply a promo to a service I hardly use( Uber pickup store) , and destroy the consumer surplus I enjoy from discounted rides.",Arniemaestro,PROMOS,2024-02-24 03:06:46-07:00,uber
1,Why iam i being charged before riding,Mwaif,Charging before ruding with no option to pay cash aftwr riding,2024-02-22 09:54:46-07:00,uber
2,"On the area of Fare review > I paid an additional toll fee, the help information details mentioned are about paying in cash. Which is incorrect.

Then upon clicking ‘Contact Us’ for more help, the window that appears is ‘Thank you’ for your feedback. Yet, no option came back to do so.

This needs to be fixed.",Mmmteja,Mismatched menu details,2024-02-19 20:52:41-07:00,uber
5,On time and ride was good,Mrs danyal,Good overall,2024-02-18 04:40:46-07:00,uber
1,Why did you remove cash option on my Uber app ??? When I updated it,Juuuuulicl,Why,2024-02-14 08:38:33-07:00,uber
5,Very efficient & lovely drive,No Maneno,From Binori Boutique to Karnavati Club,2024-02-07 00:12:52-07:00,uber
5,Let the drivers know about promotion,Mama Asim,I appreciate the safety,2024-01-25 18:02:23-07:00,uber
5,"Very engaging, knows the best routes. Also courtesy",Kelvinjau,Nice driver,2024-01-16 23:43:45-07:00,uber
1,Every time I have ordered Uber the driver has asked me to cancel. It’s so frustrating and then they would take the same trip with the same price without the official ride. Very shoddy.,Somjimh,Cancel trip by the driver,2024-01-08 20:59:47-07:00,uber
1,It’s annoying when once payment method is changed without notice,Chumbsy17,Change of payment method,2024-01-03 10:03:39-07:00,uber
5,Best and Great transport convenience.,rajmalika,Uber doing a great service,2023-12-26 22:33:07-07:00,uber
5,Smooth and timely,Jimnguru,Trip,2023-11-28 07:12:13-07:00,uber
1,the app wants me to pay before a trip. what if the driver is late? what if the driver does not arrive? i went for bolt,josephat musumbi,not good,2023-11-26 00:07:26-07:00,uber
5,Ok,MMbo matatu,A very proffesional driver.i highly recommend him,2023-11-21 08:25:37-07:00,uber
5,Mutungi thank you,wabululu,Great driver,2023-11-07 18:37:15-07:00,uber
5,"Great guy, courteous and an real extrovert in business. Smooth ride. Had to cut short my trip due to an emergency call at Imara Daima. See you soon bro",EAFCHM,Evans Mwenda,2023-11-07 00:57:56-07:00,uber
1,"Getting support after using the M-pesa payment method is aggravating. I suggest you don’t use it as it appears as a card payment on their end and in case of a refund issue, they start asking for card details to track the refund and M-pesa is not a bank.",DennohKe,M-pesa Payment Method,2023-11-01 03:17:14-07:00,uber
5,"I love you Uber, I love you Uber, you take me everywhere anytime I please, OH UBER HERE, UBER THERE, UBER EVERYWHERE! Still within this app we got access to Uber Eats, OH UBER HERE, UBER THERE, UBER EVERYWHERE! Let us go and have some fun with Uber here we go! 🤣🤣🤣🤣🤣",Legal Lethal,With a Jingle Bells tune,2023-10-31 05:43:25-07:00,uber
5,Courteous and professional driver,Maureenkayy,Great Service,2023-10-23 05:39:05-07:00,uber
5,Awesome fella,AbbyNyakara,Awesome ride,2023-10-21 07:10:40-07:00,uber
5,Nice ride nice chat,Ondiek I,Hey,2023-10-19 10:47:13-07:00,uber
1,I paid for a trip twice,mohanoor,Your drivers are conmen,2023-10-18 05:17:37-07:00,uber
5,"There's need for better experience with people using the card option 

I have so many cancellations as drivers decline riding customers with card options",Only kastomaa,Card payments option,2023-10-11 09:19:51-07:00,uber
5,He was a very nice driver!,Yuki Japan,Very nice driver!,2023-10-07 06:04:08-07:00,uber
5,Best driver  ever,Mtishibi,James mwangi,2023-10-05 09:22:58-07:00,uber
5,"The app is all good, however for fair ratings, let the driver see my rating after they have rated me too. Some drivers will wait to see what you’ll rate them, then proceed to give you bad ratings. Which seems to favor drivers more. I mean, I should be able to rate a driver poorly if the service offered was poor, without it affecting my rating.",JDennis24,Review,2023-10-04 01:51:59-07:00,uber
5,Although Uber is my taxi of choice I was deducted Ksh 310 from card for a trip that was canceled. How can I get a refund.,Newseoexpat,Was deducted Ksh 310 from card for a trip that was canceled,2023-10-04 00:21:09-07:00,uber
1,Paid for the trip and then Uber sent me an email claiming I have to make payment again.I tried sending emails to their customer care only for them to say they can’t help even after I proved that I paid for my ride. Bad customer service in general.Won’t be using this app again,Michelle.W.O,Charged twice,2023-09-23 00:20:27-07:00,uber
1,"Tell me why drivers are charging extra fees , from what i see in the app actually not extra but doubling the fee💔this is sad extremely why not just update the fee 💔damn plus why is the money i deposit not withdraw-able cause this is insane!!!",Randomness😭,I wouldn’t recommend 💔,2023-09-17 06:12:11-07:00,uber
2,When I booked for ulwe sector 9 it’s shows 679 and later when I change address to sector 8 it’s gives 1399. Cannot possible one sector before changes the price to double,Rajiv Vyas,Charges issue,2023-09-15 19:52:49-07:00,uber
1,Uber is not as good as it used to be,Aguaazul12,Horrible experience,2023-09-14 00:56:13-07:00,uber
5,"Good ride , polite and respectful and patient.
I highly recommend Kenndy",Ludenyi,5 Star Recomendatiin!,2023-09-01 04:49:50-07:00,uber
3,"Expect cancellations if the route does not favour the driver. Drivers turn down the ride but want the rider to be the one to cancel. 

There are however some other great drivers.",Rider254,Driver Cancellations,2023-08-25 06:16:27-07:00,uber
5,The app negotiations procedure is a little bit cranky and not fair to customers…,zcxddrfs,Mombasa,2023-08-22 01:05:22-07:00,uber
5,"Monica is a great driver, pleasant person, courteous and professional.",Bugasu HM,Exceptional service,2023-08-19 08:47:32-07:00,uber
5,"Good driver, cordial, pleasant, respectful.",Chriskanthus Amacanthus,Cyrus Muriithi KDH959D,2023-08-17 11:15:05-07:00,uber
5,Very good service..Amazing,Abby Tassel,Review,2023-08-13 04:56:29-07:00,uber
5,Service was good n efficient,Shah Nil,Local service,2023-08-10 01:23:11-07:00,uber
5,An awesome addition yo the App Features! Thanks,Ilemba,Price Suggestions either by Cab Driver or Passenger,2023-08-06 23:22:21-07:00,uber
5,Kennedy was very helpful,Embian,Kind,2023-08-06 02:18:58-07:00,uber
3,The user interface needs focus. A lot of unnecessary things. I just want to book a ride. All other things is noise to me.,JG6505,User interface,2023-07-25 00:19:08-07:00,uber
5,The trip was fantastic,D N & M,Mr David,2023-07-21 23:48:05-07:00,uber
5,Good job buddy,wuoi Mayom,Ride,2023-07-21 06:38:40-07:00,uber
5,Great experience  very fast,mwasharks,MWACHAKURE,2023-07-14 23:44:48-07:00,uber
5,He was a very pleasant person easy to talk to and he driving is very professional.,Alx am,Pleasant,2023-07-10 17:32:19-07:00,uber
5,I am happy with uber because of safety. Unlike bolt which pays drivers little money.,abu macky,Safety.,2023-06-27 16:59:33-07:00,uber
5,He is very engaging and a good driver. Highly recommended.,GK wa serikal,One of the best,2023-06-27 10:13:47-07:00,uber
5,Top tire services and respectful I recommend this driver,wema lov,Great,2023-06-26 15:56:54-07:00,uber
5,"Amazing car. 
Clean car.
He is respectful and makes u feel like a real VIP enroute.",KenyanGirl254,This guy 👏👏👏,2023-06-21 20:43:25-07:00,uber
5,THANK YOU,nic kish,LATEST UBER DRIVER I RODE WITH WAS EXCEPTIONAL,2023-06-15 10:09:23-07:00,uber
5,"Driver was great, clean car.",Kkiissuummuu,Good driver,2023-06-10 12:44:24-07:00,uber
5,Great experience,MKW.,Great,2023-06-08 20:09:12-07:00,uber
5,"Great Ride Wiclife, Thank you so much.",Affritembo,Affritembo,2023-06-08 11:14:28-07:00,uber
1,They do not always reprimand their drivers after you experience a threatening situation with one of their riders despite reporting to them. Be extra cautious!,NjokiWairua,Unsafe Riders,2023-06-07 11:15:28-07:00,uber
4,He didn’t using phone on traveling time,Mombasali,Wrong report,2023-06-06 04:25:30-07:00,uber
