reviewer,rating,date,text,source,company,response
Vivian Akinyi,1,2024-11-30,"I was charged for a trip that didn’t take place. The driver asked me to leave his car because I declined to use the expressway. As a result, I had to request another ride to reach my destination, yet the previous trip has been charged to our corporate account.

This situation is unacceptable and needs to be corrected. I am deeply disappointed by the driver’s unprofessional behaviour and even more so that the trip was billed to the corporate account. I explained to the driver that our office policy does not permit using the expressway at that time, but he insisted and ultimately asked me to exit the vehicle.
• Date: 20th November 2024
• Driver: Moses Mutembei, KDQ 853J Pink Toyota Passo
• Trip: 362B2EE2",google_maps,little,False
Germaine Mungai,3,2024-11-30,Neutral  experience,google_maps,little,False
David Githiga,5,2024-11-30,Ample space.. Xxx,google_maps,little,False
Vincent Tongi,5,2024-11-30,Positive experience,google_maps,little,False
Evans Nyangweso,5,2024-11-30,good,google_maps,little,False
Polyfin Nyabira,5,2024-10-31,Positive experience,google_maps,little,False
Thadeus Mayieka,5,2024-10-31,A safe place to visit.,google_maps,little,False
abel momanyi,3,2024-10-31,Neutral  experience,google_maps,little,False
Nichodemus Mwania,5,2024-10-31,Positive experience,google_maps,little,False
Peter Mikaelson,5,2024-10-31,Positive experience,google_maps,little,False
Wanzala Wanzala,4,2024-10-31,Positive experience,google_maps,little,False
Mutanu G.,3,2024-10-31,Great variety of modern office furniture and good service,google_maps,little,False
Aniel Munene,3,2025-04-15,Neutral  experience,google_maps,bolt,False
lawrence kamuiru,2,2025-04-01,Negative experience,google_maps,bolt,False
Sir Nicholas,1,2025-03-30,Didn't get any assistance  and went back home ruined.,google_maps,bolt,False
Mohamed Hassan,5,2025-03-30,Positive experience,google_maps,bolt,False
muriuki martin,1,2025-03-30,"Goes offline just anytime even without an error,need some improvement",google_maps,bolt,False
lilian murugi,5,2025-03-30,Positive experience,google_maps,bolt,False
Joseph Gitau,1,2025-03-30,Negative experience,google_maps,bolt,False
Shamsudin Kaltuma,5,2025-02-28,Positive experience,google_maps,bolt,False
John Maina,5,2024-11-30,Great welcomed,google_maps,bolt,False
Alex Nzuki,5,2024-11-30,"Keep it up,through.......",google_maps,bolt,False
Elvis juma,5,2024-10-31,Positive experience,google_maps,bolt,False
Pole Vincent,5,2024-10-31,Positive experience,google_maps,bolt,False
Amos Mwangi,1,2024-10-01,Useless app shakhaola,google_maps,bolt,False
Hillary Kulenya,5,2024-10-01,Positive experience,google_maps,bolt,False
paul moturi,4,2024-09-01,Attendant not interactive behaves More of being authoritative,google_maps,bolt,False
Florence Jumba,5,2024-07-03,Best driver's,google_maps,bolt,False
Emmily Juma,1,2024-07-03,Yesterday one of the driver abused me kumbafu Malaya after he Saw the amount was litte and wanted me to cancel but told him to do it from his end cant use bolt again drivers number Ian omonde number +254705244663,google_maps,bolt,False
DON.TONNEY KARIUKI,1,2024-04-29,"So poor communication and the drivers have started to steal
My sister's phone was stolen just the other day and the driver switched it off
Some riders don't have umbrellas and am like what tf do you expect me to go on be rained on surely nkt!",google_maps,bolt,False
Maxwell Musumba,5,2024-04-29,Faster and affordable,google_maps,bolt,False
Ismail Ibrahim,5,2024-04-29,Just hard about it but it's nice,google_maps,bolt,False
Elijah Nduva,5,2024-04-29,Positive experience,google_maps,bolt,False
Kim Kim,5,2024-04-29,Positive experience,google_maps,bolt,False
benson maingi,5,2024-04-29,Am very proud to be there any time 👏 …,google_maps,bolt,False
Deejay Antique MAINA,3,2024-04-29,It's okay,google_maps,bolt,False
ANNE WANJIRU,5,2024-04-29,Positive experience,google_maps,bolt,False
Patii Menda,4,2024-04-29,Fine,google_maps,bolt,False
osoro dennis,5,2024-04-29,Positive experience,google_maps,bolt,False
Apex Mwangi,5,2024-04-29,Positive experience,google_maps,bolt,False
Nathan Wafula,5,2024-04-29,Very caring,google_maps,bolt,False
Wilson Kasoli,5,2024-04-29,Positive experience,google_maps,bolt,False
Ahmed Ainte,5,2025-04-11,Top,app_store,faras,False
Yacniii,1,2025-04-04,They are very horrible. Their drivers ask for extra money and they take ages to find a driver for you. Very disappointing,app_store,faras,False
Bikshow,5,2025-02-15,Very good,app_store,faras,False
Jkm 97,1,2025-02-09,"If you’re in Mombasa , a distance coating 590 they will ask you for 800 kshs . Or more",app_store,faras,False
Masika3664,1,2024-12-14,The app shows prices different from what it shows the driver and the client.Stop scamming your customers and be honest!,app_store,faras,False
Bathlomeow,1,2024-12-03,Driver wanted to attack me because I received a new user discount! Never again,app_store,faras,False
sakami2000,1,2024-11-16,isn’t allowing me to change payment method,app_store,faras,False
Charlene Ruto,1,2024-10-30,Already had the app but I had to uninstall it. Ads everywhere and I already have the app installed. Stop ad spamming. Disgusting,app_store,faras,False
Fareh1,1,2024-10-16,Worst experience ever. KDK 318 M by BOB avoid by all means and the Entire FARAS help team,app_store,faras,False
Rahime96,1,2024-09-10,"Charged me 200% the initial price, and failed to reimburse.",app_store,faras,False
Kiptures,1,2024-07-27,This app is the worst ever. First they will give you an estimated fare then double it at the end of the trip and remember that isn’t during rush hour. Download it at your own risk.,app_store,faras,False
123hussein,1,2024-07-14,The worst’s ever,app_store,faras,False
lauryn wakesho,1,2024-07-10,"Your brand ambassador is a self proclaimed rapist and pedophile 
Still no action from you!!
We are not safe as women riding with you",app_store,faras,False
valopy,1,2024-06-24,Most of the drivers don’t know the location keep wasting customers time and they are rude . I am annoyed by the app!,app_store,faras,False
Note to santa,1,2024-06-06,I dont understand what this app is for if every ride you request riders complain the payment is too little …si mdelete hii app bas cause 🚮🚮,app_store,faras,False
Ngusya,5,2024-05-05,Why,app_store,faras,False
Ummmiesese,1,2024-04-15,I am not receiving a code ?? This is the second day,app_store,faras,False
doric shiks,5,2024-04-06,My best,app_store,faras,False
Kijana Handsome,5,2024-04-02,Amazing app and service,app_store,faras,False
Ray montez,1,2024-03-08,"I recently had the displeasure of dealing with Faras, and I must say, their customer service is nothing short of a nightmare. From the neglectful attitude to downright rudeness, my experience left me thoroughly disappointed.

Attempting to seek assistance from Faras felt like talking to a brick wall. It’s disheartening when a company neglects its customers, leaving them stranded with unresolved issues. Their lack of responsiveness and indifference to customer concerns was truly infuriating.",app_store,faras,False
Ayub MH,5,2024-02-26,Best taxi🫡,app_store,faras,False
Koko gunn,5,2024-02-23,"This guys are literally the best they literally had a driver when no other cab company had, plus their drivers are so behaved and patient,
After trying them yesterday night I deleted all other cab apps Frl
Thanks Faras",app_store,faras,False
C sync du n on,1,2024-02-13,Scam,app_store,faras,False
Krook001,1,2024-02-09,A driver stole from me I keep calling he’s blocked me …Faras people I’m still waiting for your assistance with this Ruto’s economy it’s not easy please 450 balance is a lot of money for a driver to refuse with it and … Shadrack(the driver) May God punish you nkt,app_store,faras,False
Ghost_Xhari,3,2024-01-30,I love the app and the drivers are great… but why can’t I withdraw the Faras miles… been saving them for a while but turns out I can’t withdraw,app_store,faras,False
Muhammad A. M Ali,5,2023-11-10,Best of all taxing applications,app_store,faras,False
-theeeeeeee,1,2023-11-04,Why can’t I withdraw my faras mile? Fix up guys,app_store,faras,False
Guss derr,5,2023-10-14,W,app_store,faras,False
Siman123456,5,2023-09-26,"Dont use any other app, this is legit the best app for ride sharing, its safe reliable and most importantly affordable!",app_store,faras,False
NoNicknyme,1,2023-09-17,You will not get the KSH 200 they promised.,app_store,faras,False
Farasi12,5,2023-08-02,Superb,app_store,faras,False
BuddahArt,5,2023-07-10,"Great app for travelers and drivers, it let’s you earn something called FarasMiles every time you take a trip which you can accumulate for free rides or you can convert to real money that you can withdraw and buy airtime.",app_store,faras,False
faiwendy67888990,5,2023-06-19,"Nice discounts, the drivers are so reliable. I love it!",app_store,faras,False
imechemka,1,2023-06-16,The app is so laggy  has a lot  of bugs cmon you can do better cant show maps very well cant get miles after using my referral some of the things you cant even scroll,app_store,faras,False
TARIQ1.,1,2023-06-13,"The app is basically scum you guys still don’t understand it but you will soon 🔜. 
I prefer matatu over this app bolt also became worse a double price out of nowhere SMH 🤦🏽‍♂️",app_store,faras,False
K.M.M0188,1,2023-06-02,Had an issue where I was given 200 for first ride but on arrival the price was different and getting In touch with support to refund was hard.,app_store,faras,False
Mokili02,1,2023-06-01,Scammers of the highest level….you cannot transfer your miles nor should get miles after referring someone,app_store,faras,False
brown teddy@2543,5,2023-04-20,The app is good though I can't get my faras miles after reffering to someone else 🥺,app_store,faras,False
ngoristar,5,2025-04-26,Bravo,app_store,uber,False
Gunyanyi,1,2025-04-18,"The apps had refused to accept my payment choices. It is becoming inconvenient and causing many riders to cancel trips because they prefer cash payment. 
How do I change back to cash payment?",app_store,uber,False
Top Tobiii,5,2025-04-08,Awesome experience here in Nairobi,app_store,uber,False
Tess Kui,5,2025-03-27,Safe drive & punctual,app_store,uber,False
Shemcom,5,2025-03-27,Happy,app_store,uber,False
Rachel Racquel,1,2025-03-24,"I made a payment via Mpesa which they refused to acknowledge because they say they only acknowledge bank or PayPal payments.

Given that Uber is widely used in the Kenyan market- the least you can teach your customer care service is that it is possible to make payment with something other than a bank or PayPal. 

Terrible experience with customer service. 1 Star.",app_store,uber,False
Review@user,1,2025-03-14,I have enabled all safety features but when I book a ride none of the safety features that I have chosen to default are active and hence need to manually update each trip.,app_store,uber,False
EddGichigo,1,2025-03-09,"I am filing a complaint about Uber’s blatant price gouging practices, which take advantage of customers when demand is high. It is unacceptable that fares skyrocket the moment Uber detects an increase in demand, knowing full well that riders have limited options. This is pure exploitation, not “dynamic pricing.” Your so-called surge pricing is nothing but an excuse to squeeze extra cash from customers who have no alternative but to use your service. It is unfair, unethical, and needs to be addressed. I demand a fare review and a clear explanation of why Uber thinks this predatory pricing model is justifiable.",app_store,uber,False
Cizja,5,2025-03-03,"Cleanest Uber ever
Friendly driver and disciplined",app_store,uber,False
Meeyash,5,2025-03-01,Very nice service,app_store,uber,False
Kendi kenya,5,2025-02-22,I only get option to pay with visa/debit card when I try to download. I want to pay with Mpesa or cash. This is all wrong.,app_store,uber,False
Irate beyond words,1,2025-01-29,Customer support takes too long to resolve issues with no clear ETR.,app_store,uber,False
We expect better service!,1,2025-01-27,Why on earth should it take over a week to get simple feedback or resolution of a ticket item raised about unsupported charges?,app_store,uber,False
Viochem,5,2025-01-25,Very convenient and reliable,app_store,uber,False
Kennyyyyyyynnnnnn,5,2025-01-17,Very poor long mapping for a very small distance in pursuit of increasing charges.,app_store,uber,False
Photo383,5,2024-12-31,Excellent,app_store,uber,False
Evewkm,5,2024-12-22,Reliable,app_store,uber,False
Kelvin Ň,4,2024-12-16,Uber is one of the safest apps I’ve ever used,app_store,uber,False
Wanjmel,1,2024-12-15,One of my rides refused to end trip and i couldn’t use the app the whole day until it did. There is no help option when the ride cannot be ended and yet you have arrived at your destination.,app_store,uber,False
abdulkiba,1,2024-11-20,The agents don’t reply when there’s an emergency,app_store,uber,False
Mbuiworld,5,2024-11-13,Great ride. With Uber today,app_store,uber,False
khari vadi,5,2024-11-12,Good n fast & in time,app_store,uber,False
Kj4Dago,5,2024-11-08,Superb,app_store,uber,False
001_Saru027,5,2024-10-27,"Amazing driver, professional and friendly",app_store,uber,False
haternate,1,2024-10-17,"What a garbage app this is now. This last update seems like we went back in time to iPhone 2. Buttons don’t work, loads of clicks, complete trash. I’ve started texting drivers I met on uber and booking directly to not deal with the headaches. Went from a 4 to a 1 in a month, nice work!",app_store,uber,False
Bristo10,1,2024-10-12,Your vouchers never reflect its shows it has been credited but doesn’t reflect,app_store,uber,False
Nyagose,5,2024-10-04,Excellent driver. Polite,app_store,uber,False
Chiri 2,1,2024-09-28,"Please reverse my money. I got a cancellation fee for a trip I did not cancel. When my ride could not complete, the app allowed me to request another ride. 
Why should I get charged for that cancellation? 
Thanks in advance 
Jepchirchir",app_store,uber,False
EllaSoElla,1,2024-09-28,So frustrating that issues cannot be resolved easily as they used to be! There’s no direct way to speak to an attendant anymore. Uber sucks!,app_store,uber,False
254 🇰🇪,1,2024-09-25,I was overcharged and yet i paid in full. Customer support is so bad and you have no access to anyone but keep chatting with bots who offer no assistance,app_store,uber,False
Geoffrey Oongo,5,2024-09-14,Uber still beat all the competitors in the market because they have professional drivers,app_store,uber,False
Manjegean,5,2024-09-09,"You are the Best.
Great conversation and resourcefulness.
Keep it up",app_store,uber,False
Safiyay,5,2024-08-25,Sincerely Uber is the best app it’s safe and reliable,app_store,uber,False
underrated254,1,2024-08-22,"The way you guys calculate your cost is so so, sooo bad, the prices are not even x10 the charge of a normal bus but it’s almost x15. Hiking prices like this isn’t going to solve things, I stopped using Uber because of this issue why do you have to hike prices every single month. This is just st*pid. I hate Uber",app_store,uber,False
LeaderHuli,5,2024-08-20,Very accurate and easy to navigate through,app_store,uber,False
Guru Agengo,5,2024-08-15,Amazing driver,app_store,uber,False
Marietta2003,1,2024-08-14,"This app is pathetic. Why are you choosing someone that is so far away and doesn’t even know how to use the map properly? I have cancelled over three rides in the past one hour because none of them know what they’re doing. They just move farther and farther away and eventually come to a complete stop then call to ask to cancel. Really??? Reflect on this, because it’s really disappointing.",app_store,uber,False
Nicholas kirimi,1,2024-08-14,Driver takes 1/2 hour arrives then tells me he has ran out of fuel i cancel the order for another I was late for my appointment who compensate s?,app_store,uber,False
Mtalym,5,2024-08-13,She is courteous and professional. Excellent driver.,app_store,uber,False
2024rash,1,2024-08-12,I WANT MY MONEY REFUNDED ENOUGH IS ENOUGH !!!!!!!!!!!!stop taking out money in prompt then when the ride cancels you don’t return the full amount or you jus don’t return the money..this is so wrong and corrupt nkt,app_store,uber,False
Bin Sangwa,1,2024-08-10,"I have a big problem with your application, the application controls vehicles without me even I control and even when I uninstall the application it still controls",app_store,uber,False
Femiella,5,2024-08-06,"Very friendly rider…
Very careful with his speed..
Great attitude 💪🏿",app_store,uber,False
Alekingm,1,2024-07-31,I ordered some items for delivery. The app gave a notification that some items were missing from the vendor and gave me an option of replacement items which I didn’t want to purchase. I did not process the order and stopped using the app but the order was processed and delivered which I could not accept. Now I am being forced to pay for an order I never requested or received which is basically daylight robbery!,app_store,uber,False
RTikolo,1,2024-07-31,"I have used Uber for years now, but never had any problems. But in the past month, there have been issues with prices: the app gives you one rate, while the driver asks for more money than is required on the app.

Uber and the drivers need to come into an agreement and sort this issue out, because clients are now being harassed by drivers to pay higher fees, to the point of even wanting to attack them!
This is unbecoming and clients shouldn’t have to pay the price. Uber, kindly sort this issue out",app_store,uber,False
DeeZedKay,4,2024-07-26,"Uber is a relatively safe taxi app compared others. However lately the driver will almost always call to find out where the passenger is going and what the charges are showing. They are all disgruntled about the level of  commission they have to pay and this is reflected in their attitude towards the client. Pls address the as soon as possible. 
There are also more incidences of using the phone while driving.",app_store,uber,False
Major Vidosa,5,2024-07-22,Very nice.,app_store,uber,False
Mhbccb,1,2024-07-15,How do I get my money back after I have already done a refund for a cancelled trip?,app_store,uber,False
patricia 254,1,2024-07-12,"Some of the drivers are rude, one of them insisted on driving on the wrong side of the road. After confrontation ,he left me on a dangerous roadside and still demanding  more pay.  I regret this particular driver. Had a Very bad experience.",app_store,uber,False
Dr. Masinde,5,2024-07-06,He delivered to the expectation,app_store,uber,False
Bdjonny,5,2024-07-02,Good app,app_store,uber,False
AyamBruceWayne,1,2024-06-29,"You pay a driver via cash then Uber decides that you never paid and charges you for that trip. After trying to follow up unsuccessfully for a resolution, you pay the double charged trip and try booking another trip. The app hangs for a long time without finding a driver, forcing you to abandon the request, the app acknowledges that the trip request is cancelled, then…wait for it…proceeds to charge you for the said cancelled trip 🙄. Fix it Uber!!
Your Help Section is a scam by the way. Stop it with the AI responses.",app_store,uber,False
Wangai1234,1,2024-06-22,So unfortunate they don’t allow cash as a mode of payment,app_store,uber,False
African ruler,5,2024-06-17,Great ride,app_store,uber,False
Ryan Lucheveli,1,2024-06-15,How can i pay for ride before the driver has arrived to pick me up. That’s some BS** literally.,app_store,uber,False
Gal Kadot,1,2024-06-13,This app now requires one to have iOS 16.2 or a later version. What of those whose phones cannot support this version of iOS but are willing to update the app but cannot because of this requirement? Due to this discriminatory thinking I cannot use the app. Do better.,app_store,uber,False
Difficulty paying for service,2,2024-06-13,"I’ve had trouble getting an Uber because the m-PESA payment is not going through so the app “suggested” to pay directly. Did that and $$ disappeared to la la land. Now seeing a charge for a payment that apparently didn’t go through day prior. Not sure what for as the amount doesn’t match any rides I used. And yes, there’s $$ in my M-PESA account so that’s not the issue.",app_store,uber,False
Robyn Wanjira,1,2024-06-11,"I’ve been trying to fix an ongoing problem with my account and no one has responded.
For the past week I have not been able to use the app because it shows an outstanding balance which I don’t understand how it came about since I have always paid for my rides. Eventually I just decided to pay the balance to the next driver and I paid the amount it came to but upon completion of the ride the app still showed that I had an outstanding balance. In fact the balance increased to include the payment of the recent ride . This is the third time this has happened and I ask whoever it may concern to please fix this problem",app_store,uber,False
bgm_reviewer,3,2024-06-10,"This app has helped me travel faster and in more convenience at an affordable price, especially in my country where even hailing a cab can be a hassle and a security risk. 

With that said, there is a huge problem with your pricing system which leaves the drivers frustrated. Once a driver refused to get to my pickup point (by staying still) so that he can force me to cancel the trip and take responsibility off of him (since I was new to the app I did not know then that my driver could be changed after cancelling the trip), and as I am writing this review three drivers rejected my trip again before I decided to use another trip option, which was more costly. I’m of the opinion that the drivers don’t like the fare which is too little, and that may lead to harassment cases in future.

I would also recommend on Uber introducing tutorials on how to cancel a trip and the options available for it, so that riders may have the peace of mind of knowing that they may not have to pay damages for incidents which are not their fault. Thank you.",app_store,uber,False
VundiKane,5,2024-06-10,Professional driver,app_store,uber,False
Webmeister5000,1,2024-06-05,This app now requires one to have installed iOS 16.2 onwards. How about those who’s iPhones cannot support iOS 16.2 and above? Does that mean that they cannot access Uber? Extremely discriminatory! I’m deleting this app 🚮,app_store,uber,False
Gulueawdkdkck,1,2024-05-29,I have consistently used Uber every day and it’s becoming an inconvenience having to tell the driver the destination they ask me to cancel and i do this 2/3 times i just switch to other apps just show them the destination let them decide before calling the client and they end up cancelling. Drivers also mentioned this is the only app that does not show destination this would really help them,app_store,uber,False
nino duncan wakhungu,1,2024-05-28,"Show your drivers the destination and the price charged especially in nairobi we are tired of questions after ordering the Uber you have to be prepared to answer your driver where you are,how much it has shown and if it’s cash or card why can’t you show them be open.",app_store,uber,False
Phyllis from Isuzu,5,2024-05-19,"Very impressive, he drove well, bery polite and timely.",app_store,uber,False
33XWAWA,1,2024-05-15,"Rude drivers who don’t accept card payments or mobile money payments; keep canceling rides; ask for extra fare and call to ask silly questions like how much the trip costs.

UBER won’t compensate or apologize for delays caused by their system and drivers. You will spend an hour looking for a ride while exposed to the elements as drivers keep canceling rides! 

UBER will tell you a ride is 15 minutes away; take 10 minutes looking for the ride and then tell you the ride is unavailable. ( The whole time the system lies that a ride is 15 minutes away) 

Pathetic app really; would not recommend it for developing countries. The vexes are not worth channeling your money to feed the foreign owned business. You’d rather the funds circulated in your local economy to improve your local transport infrastructure and sustain local developers with transport solutions.

DON’T BELIEVE ME? Switch your payment method from cash to card or UBER CASH and enjoy the show! (Not that you’re also exempt from other challenges when you don’t switch)",app_store,uber,False
Mama Rayyo,1,2024-05-06,I am disappointed and sad that I took a trip to town on Saturday and paid the driver via MPESA but the app stated I hadn’t paid. I complained on the same day but there was no resolution. Today 6th I paid for that Saturday trip and todays trip. This isn’t cool kindly resolve it,app_store,uber,False
